N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
386SW,26601,138447K,13802,1994,NULL,"U S BANK NA TRUSTEE                               ","ONE FEDERAL ST                   ","CORPORATE TRUST SERVICES         ","BOSTON            ",MA,2110,E,25,US,20140226,20040513,"1T        ",5,5,"V ",51071471," ",19940627,NULL,NULL,NULL,NULL,NULL,20170630,454952,"    ",NULL,NULL
952DL,49883,3023688,52053,1990,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","CORPORATE TRUST ADMINISTRATION   ","RODNEY SQ N 1100 N MARKET ST     ","WILMINGTON        ",DE,19890,1,3,US,20150611,20071115,"1T        ",5,5,"V ",53236153," ",19900228,NULL,NULL,NULL,NULL,NULL,20181130,104781,"    ",NULL,NULL
902DA,53382,3023690,34601,1994,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,30354,7,121,US,20161221,19950426,"1T        ",5,4,"V ",53073346," ",19950210,NULL,NULL,NULL,NULL,NULL,20200331,185182,"    ",NULL,NULL
804JB,5142,3940004,34604,2012,NULL,"JETBLUE AIRWAYS CORP                              ","2701 QUEENS PLZ N                ","                                 ","LONG ISLAND CITY  ",NY,111014020,1,81,US,20141212,20120516,"1T        ",5,5,"V ",52570603," ",20120517,NULL,NULL,NULL,NULL,NULL,20180531,1095557,"    ",NULL,NULL
216UA,30549,1385219,52119,2000,NULL,"UNITED AIRLINES INC                               ","ATTN:  TREASURER WILLIS TOWER    ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20130401,"1T        ",5,5,"V ",50350617," ",20000720,NULL,NULL,NULL,NULL,NULL,20190430,993737,"    ",NULL,NULL
919FR,1980,3940000,13802,2003,NULL,"AFS INVESTMENTS XVIII LLC                         ","ATTN OPERATIONS LEADER           ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20151219,20030605,"1T        ",5,5,"V ",53134247," ",20030701,NULL,NULL,NULL,NULL,NULL,20170831,50579,"    ",NULL,NULL
619AS,30164,13844CN,13802,2000,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPT SEAZL             ","19300 INTERNATIONAL BLVD         ","SEATTLE           ",WA,981885403,S,33,US,20140814,20000710,"1T        ",5,5,"V ",52010076," ",20000629,NULL,NULL,NULL,NULL,NULL,20180131,585972,"    ",NULL,NULL
472UA,1435,3930326,34601,2001,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20160425,20130401,"1T        ",5,5,"V ",51345113," ",20010511,NULL,NULL,NULL,NULL,NULL,20190430,703774,"    ",NULL,NULL
902FR,1515,3930323,13802,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160609,20021120,"1T        ",5,5,"V ",53073447," ",20010712,NULL,NULL,NULL,NULL,NULL,20181031,683944,"    ",NULL,NULL
634SW,27937,138447K,13802,1996,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ # 4GC   ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150202,19960910,"1T        ",5,5,"V ",52047075," ",19960805,NULL,NULL,NULL,NULL,NULL,20180531,975592,"    ",NULL,NULL
510AA,21064699,2073453,17032,1982,NULL,"BLUE BIRD AVIATION LLC                            ","11300 NW 51 TERRACE              ","                                 ","DORAL             ",FL,33178,7,25,US,20161013,"        ","1N        ",4,1,"V ",51460560," ",19970122,NULL,NULL,NULL,NULL,NULL,"        ",880641,"    ",NULL,NULL
194AA,32388,1384957,54223,2001,NULL,"AMERICAN AIRLINES INC                             ","4333 AMON CARTER BLVD MD 5569    ","                                 ","FORT WORTH        ",TX,76155,2,439,US,20150518,20011108,"1T        ",5,5,"V ",50273410," ",20061019,NULL,NULL,NULL,NULL,NULL,20181031,45940,"    ",NULL,NULL
348NW,410,3930322,13802,1993,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,5,"V ",50756107," ",19960709,NULL,NULL,NULL,NULL,NULL,20190630,114342,"    ",NULL,NULL
637SW,27710,138447K,13802,1996,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20150408,19961004,"1T        ",5,5,"V ",52054542," ",19961003,NULL,NULL,NULL,NULL,NULL,20180831,975861,"    ",NULL,NULL
701SK,10133,1390015,30015,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150130,20040514,"1T        ",5,5,25,52254737," ",20040126,NULL,NULL,NULL,NULL,NULL,20170430,87809,"    ",NULL,NULL
37290,31601,13844BZ,13802,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150129,20070628,"1T        ",5,5,"V ",51037345," ",20040907,NULL,NULL,NULL,NULL,NULL,20170831,108149,"    ",NULL,NULL
902WN,36615,1384404,13044,2007,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160305,20080110,"1T        ",5,5,"V ",53074233," ",20071215,NULL,NULL,NULL,NULL,NULL,20190630,369299,"    ",NULL,NULL
594JB,2284,3940004,34601,2004,NULL,"JETBLUE AIRWAYS CORP                              ","27-01 QUEENS PLAZA NORTH         ","                                 ","LONG ISLAND CITY  ",NY,111014020,1,81,US,20150217,20041012,"1T        ",5,5,"V ",51726415," ",20041025,NULL,NULL,NULL,NULL,NULL,20180731,134779,"    ",NULL,NULL
38417,31665,13848A3,13045,2008,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER                  ","WILLIS TOWER 233 S WACKER DR     ","CHICAGO           ",IL,60606,C,31,US,20160520,20080313,"1T        ",5,5,"V ",51066301," ",20080311,NULL,NULL,NULL,NULL,NULL,20191031,445099,"    ",NULL,NULL
391CA,10108,1390015,30015,2003,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 MH JACKSON SERVICE RD       ","ATLANTA           ",GA,30354,7,121,US,20150812,20121128,"1T        ",5,5,"V ",51103263," ",20030723,NULL,NULL,NULL,NULL,NULL,20181130,59699,"    ",NULL,NULL
842UA,1569,3930317,34601,2001,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,4,"V ",52704412," ",20011206,NULL,NULL,NULL,NULL,NULL,20190430,13827,"    ",NULL,NULL
23139,145731,3260214,54582,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC:  U1228-51                   ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20030611,"1T        ",5,5,"V ",50407432," ",20050225,NULL,NULL,NULL,NULL,NULL,20170831,51019,"    ",NULL,NULL
551NW,26498,1384970,52117,2001,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,4,"V ",51602143," ",20010630,NULL,NULL,NULL,NULL,NULL,20190630,253944,"    ",NULL,NULL
980SW,7955,1390008,30015,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ",299 S MAIN ST 5TH FL MAC U1228-51,"                                 ","SALT LAKE CITY    ",UT,84111,S,35,US,20150130,20050928,"1T        ",5,5,"V ",53326311," ",20040721,NULL,NULL,NULL,NULL,NULL,20180430,120339,"    ",NULL,NULL
955AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,53243473," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
641JB,2848,3940004,34604,2006,NULL,"JETBLUE AIRWAYS CORP                              ","27-01 QUEENS PLAZA NORTH         ","                                 ","LONG ISLAND CITY  ",NY,111014020,1,81,US,20141113,20060802,"1T        ",5,5,"V ",52064674," ",20060803,NULL,NULL,NULL,NULL,NULL,20180331,276139,"    ",NULL,NULL
914EV,7752,1390008,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN: DIRECTOR-QUALITY           ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20160219,20030131,"1T        ",5,5,"V ",53122777," ",20030131,NULL,NULL,NULL,NULL,NULL,20190430,29549,"    ",NULL,NULL
898SK,15110,1390016,30051,2007,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-051                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20160311,20160311,"1T        ",5,5,"V ",53062246," ",20130530,NULL,NULL,NULL,NULL,NULL,20190331,1119917,"    ",NULL,NULL
7729A,32675,13844CH,13043,2006,NULL,"AFS INVESTMENTS 55 LLC                            ","ATTN OPERATIONS MANAGER          ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20151219,20060724,"1T        ",5,5,"V ",52472011," ",20060613,NULL,NULL,NULL,NULL,NULL,20171031,247589,"    ",NULL,NULL
713SK,10174,1390015,30015,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150330,20051017,"1T        ",5,5,"V ",52304314," ",20041101,NULL,NULL,NULL,NULL,NULL,20180731,137419,"    ",NULL,NULL
899SK,15112,1390016,30051,2007,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-051                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160311,20160311,"1T        ",5,5,"V ",53064135," ",20130723,NULL,NULL,NULL,NULL,NULL,20190331,1119925,"    ",NULL,NULL
104AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,50011621," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
124SY,17000439,3260415,30061,2014,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20141119,20141119,"1T        ",5,5,"V ",50062065," ",20141121,NULL,NULL,NULL,NULL,NULL,20171130,1164862,"    ",NULL,NULL
480WN,33998,1384404,13802,2004,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150408,20041012,"1T        ",5,5,"V ",51365232," ",20040825,NULL,NULL,NULL,NULL,NULL,20180831,81699,"    ",NULL,NULL
922EV,7822,1390008,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR - QUALITY          ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20140811,20030710,"1T        ",5,5,"V ",53143020," ",20030711,NULL,NULL,NULL,NULL,NULL,20171130,56779,"    ",NULL,NULL
761ND,10213,1390015,30015,2005,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR-QUALITY            ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20140512,20050602,"1T        ",5,5,"V ",52443157," ",20050603,NULL,NULL,NULL,NULL,NULL,20170831,181149,"    ",NULL,NULL
212UA,30218,1385219,52119,2000,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20130401,"1T        ",5,5,"V ",50341263," ",20000727,NULL,NULL,NULL,NULL,NULL,20190430,173747,"    ",NULL,NULL
365NB,2013,3940002,13802,2003,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,30354,7,121,US,20160408,20091231,"1T        ",5,5,"V ",51020015," ",20030930,NULL,NULL,NULL,NULL,NULL,20190630,61539,"    ",NULL,NULL
667UA,29239,1385200,52119,1998,NULL,"UNITED AIRLINES INC                               ","ATTN:  TREASURER WILLIS TOWER    ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,5,"V ",52147775," ",19980831,NULL,NULL,NULL,NULL,NULL,20190430,153636,"    ",NULL,NULL
935FR,2318,3940000,13802,2004,NULL,"AFS INVESTMENTS 55 LLC                            ","ATTN OPERATIONS MANAGER          ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20151219,20041022,"1T        ",5,5,"V ",53174311," ",20041023,NULL,NULL,NULL,NULL,NULL,20180731,136939,"    ",NULL,NULL
550NW,26497,1384970,52117,2001,NULL,"DELTA AIR LINES INC                               ","1775 MH JACKSON SERVICE RD       ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,30354,7,121,US,20160408,20091231,"1T        ",5,4,"V ",51600254," ",20010619,NULL,NULL,NULL,NULL,NULL,20190630,223944,"    ",NULL,NULL
464SW,7827,1390008,30015,2003,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20140814,20030808,"1T        ",5,5,"V ",51325034," ",20030908,NULL,NULL,NULL,NULL,NULL,20180131,61299,"    ",NULL,NULL
946SW,7776,1390008,30015,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ",299 S MAIN ST 5TH FL MAC U1228-51,"                                 ","SALT LAKE CITY    ",UT,84111,S,35,US,20150825,20041207,"1T        ",5,5,"V ",53222427," ",20030402,NULL,NULL,NULL,NULL,NULL,20190131,39679,"    ",NULL,NULL
943FR,2518,3940009,13802,2005,NULL,"FRONTIER AIRLINES INC                             ","7001 TOWER RD                    ","                                 ","DENVER            ",CO,802497312,S,31,US,20140811,20050715,"1T        ",5,5,"V ",53214332," ",20050716,NULL,NULL,NULL,NULL,NULL,20171031,190059,"    ",NULL,NULL
755SA,27871,1384404,13802,1999,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20151205,19991218,"1T        ",5,5,"V ",52427055," ",19991111,NULL,NULL,NULL,NULL,NULL,20190331,543747,"    ",NULL,NULL
923EV,7826,1390008,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN: DIRECTOR QUALITY           ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20150109,20030814,"1T        ",5,5,"V ",53144707," ",20030814,NULL,NULL,NULL,NULL,NULL,20180228,62729,"    ",NULL,NULL
922FR,2012,3940000,13802,2003,NULL,"AFS INVESTMENTS XX LLC                            ","ATTN: OPERATIONS LEADER          ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20151219,20030815,"1T        ",5,5,"V ",53143045," ",20030930,NULL,NULL,NULL,NULL,NULL,20180228,56869,"    ",NULL,NULL
252WN,34973,1384404,13044,2006,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150202,20060913,"1T        ",5,5,"V ",50460355," ",20060818,NULL,NULL,NULL,NULL,NULL,20180531,218759,"    ",NULL,NULL
828MH,29699,1385134,30025,2000,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20141024,20000814,"1T        ",5,4,"V ",52647656," ",20000810,NULL,NULL,NULL,NULL,NULL,20180228,125600,"    ",NULL,NULL
774SW,27882,1384404,13802,2000,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20141007,20000814,"1T        ",5,5,"V ",52474610," ",20000718,NULL,NULL,NULL,NULL,NULL,20180228,256072,"    ",NULL,NULL
716SK,10180,1390015,30015,2004,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20151204,20050110,"1T        ",5,5,"V ",52311761," ",20041203,NULL,NULL,NULL,NULL,NULL,20190430,143979,"    ",NULL,NULL
924EV,7830,1390008,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN: DIRECTOR QUALITY           ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20150109,20030820,"1T        ",5,5,"V ",53146576," ",20030821,NULL,NULL,NULL,NULL,NULL,20180228,63509,"    ",NULL,NULL
718SK,10184,1390015,30015,2004,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20151204,20050107,"1T        ",5,5,"V ",52315537," ",20050106,NULL,NULL,NULL,NULL,NULL,20190430,149609,"    ",NULL,NULL
238AK,62681,13848CE,13078,2016,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPARTMENT - SEAZL     ","19300 INTERNATIONAL BLVD         ","SEATTLE           ",WA,98188,S,33,US,20160525,20160525,"1T        ",5,5,"V ",50423102," ",20160522,NULL,NULL,NULL,NULL,NULL,20190531,1211016,"    ",NULL,NULL
247AK,36364,13848CE,13078,2016,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPT-SEAZL             ","19300 INTERNATIONAL BLVD         ","SEATTLE           ",WA,98188,S,33,US,20160608,20160608,"1T        ",5,5,"V ",50445012," ",20160604,NULL,NULL,NULL,NULL,NULL,20190630,1213216,"    ",NULL,NULL
